code.rfl,Database,Crop,Crop_Water,Database_Water,orderData,SEV_cond,orderBox,PRIn
34,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.035128966
35,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.034072006
36,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.033325801
37,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.033067766
38,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.030399329
40,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.021920941
41,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.037106257
42,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.028849143
43,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.033148245
44,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.027867346
45,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.070598247
46,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.026676369
47,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.021391248
48,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.02813833
49,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.022406963
53,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.03401432
55,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.020297945
56,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.012909849
57,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.038705075
58,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.023822366
59,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.017441994
60,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.036487902
61,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.027910388
62,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.046759365
63,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.040585859
65,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.039551394
66,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.02889487
67,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.033359323
68,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.037252213
69,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.045295046
70,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.037292404
71,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.039075913
72,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.036032819
73,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.038043157
126,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.023357823
131,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,0.017619702
143,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.021850835
149,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.018530339
151,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.028241116
152,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.032039679
155,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.041001257
157,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.037468952
158,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.02866162
159,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.013863036
160,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.024272184
162,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.024406619
163,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.025430509
164,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.017412376
166,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.026977186
167,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,4-H,0,-0.020501159
246,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.016044142
279,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.02581351
280,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.0172502
281,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.0067634
282,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.003754655
283,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,0.030134051
284,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.013151944
285,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.011386876
286,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,0.007590452
287,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,0.013243689
288,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,0.013590746
289,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,0.012115406
311,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.003607157
312,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.010711225
314,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,0.013637982
315,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.040134171
318,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.023052414
319,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.023537785
363,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.023817989
364,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.015265291
365,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,0.006833078
366,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,2.10E-05
367,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.006507046
368,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.020705931
370,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.012862394
371,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.017579287
382,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.015815972
383,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.033595861
384,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.023859655
386,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.005047802
388,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,8.84E-05
444,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.026449898
447,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.022865919
448,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.028692221
449,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.013109124
450,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.018302073
451,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,0.026045344
454,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.013504301
467,Mallorca,Almond,Almond_Rainfed,Mallorca_Rainfed,A-M,7-TP-Xf,0,-0.024739492
473,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.019709553
474,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.031493358
475,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.016896525
476,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.024109594
477,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.034548933
478,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.024962616
479,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.021950746
480,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.020648155
481,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.030258091
482,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.033408666
483,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.024644003
484,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.024291467
485,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.03520883
486,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.013868451
487,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.029823612
488,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.020276016
489,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.029931502
490,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.02844159
491,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.017184389
492,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.02837274
493,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.017506528
494,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.020175008
496,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.035023304
497,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.023324094
498,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.010678492
499,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.031787169
500,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.027756861
501,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.021322825
502,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.021973498
503,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.022517067
504,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.038266695
505,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.033615789
506,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.029132322
507,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.032026498
508,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.032380376
509,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.027315114
510,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.018724882
512,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.027082508
513,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.022656979
514,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.028045033
515,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.039161074
516,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.033075233
517,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.0300679
518,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.030013432
519,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.025208194
521,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.037482948
522,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.032726061
523,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.027421335
524,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.039551363
525,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.023909416
526,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.028317257
527,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.024156483
528,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.029846286
530,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.035867226
531,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.031503592
532,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.036298595
533,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.03772014
534,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.035841123
535,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.037068708
536,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.030179376
537,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-2.572460519
539,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.033358971
540,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.03641462
541,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.030464155
542,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.042738117
543,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.027925527
544,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.04188603
545,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.031826184
546,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.036026568
547,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,4-H,0,-0.037984063
581,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.019533952
582,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.000163523
583,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.003532336
584,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.030531453
587,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.001081975
588,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.02065396
599,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.003262828
601,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.004884058
616,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.039050355
617,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.04059197
618,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.035204399
619,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.036575176
620,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.032811833
621,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.037798873
622,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.031515032
623,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.031818851
624,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.025750864
625,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.027146119
626,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.029069487
627,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.034069641
628,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.036357287
629,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.033172721
630,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.038733858
631,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.031337009
718,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.004829679
725,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.004829679
738,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.014789256
740,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.0118838
742,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.0641558
743,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.006153705
744,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.01697042
746,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.001864132
747,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.002975515
762,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.00336255
763,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.002944508
764,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.005245872
765,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.012376645
766,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.000631103
767,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.001090392
768,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.005333392
769,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.014718919
770,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.021941616
771,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.004650751
772,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.022066908
773,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.025344146
774,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.02379734
775,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.024485152
776,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.007445051
777,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.005261531
778,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.00790517
779,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.024754614
855,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.022778329
856,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,9.08E-05
857,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.014938431
858,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.053987398
859,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.021347939
860,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.027349817
861,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.011566603
862,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.004861721
863,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.021772695
874,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.020721921
875,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.025507852
876,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.032273399
877,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.019499496
878,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.009216255
879,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.007640202
881,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.020721921
882,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.025507852
883,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,0.032273399
884,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.019499496
885,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.009216255
886,Mallorca,Almond,Almond_Irrigated,Mallorca_Irrigated,A-M,7-TP-Xf,0,-0.007640202
